종목명,시가총액,조단위,누적비율
삼성전자,3972077,397.2077,0.13949282907676572
SK하이닉스,1958326,195.8326,0.20826602607032507
LG에너지솔루션,754650,75.465,0.23476809626251452
삼성바이오로직스,748039,74.8039,0.2610379989783367
삼성전자우,447970,44.797,0.27676997059961156
KB금융,432578,43.2578,0.2919614004274747
현대차,431015,43.1015,0.3070979402590344
한화에어로스페이스,423774,42.3774,0.3219801880475786
두산에너빌리티,415084,41.5084,0.33655725728981645
셀트리온,401034,40.1034,0.3506409135774392
기아,396877,39.6877,0.36457858284354344
NAVER,383418,38.3418,0.3780435941056502
HD현대중공업,359975,35.9975,0.3906853256599249
신한지주,334506,33.4506,0.4024326277094956
삼성물산,296439,29.6439,0.4128430791581174
현대모비스,278139,27.8139,0.42261086462314806
삼성생명,271200,27.12,0.4321349637898104
하나금융지주,260522,26.0522,0.4412840691109654
HMM,256260,25.626,0.45028349998282713
POSCO홀딩스,251701,25.1701,0.45912282625254724
카카오,251506,25.1506,0.4679553044421143
한화오션,246356,24.6356,0.4766069230789221
HD한국조선해양,234613,23.4613,0.48484614681707905
한국전력,232712,23.2712,0.493018610553334
